VIN,Shipping Status,Base MSRP,Pre-Sold,Hold Status,Year,Drivetrain,Model,Color,Dealer,Dealer Website,Dealer State,Dealer Price,Markup,Image
2T3B6RFV7PW17F970,Factory to port,35125,True,,2023,hybrid,XLE Premium,Lunar Rock,San Francisco Toyota,https://www.sftoyota.com,CA,35125.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4/exteriorcolor/carjellyimage/e8d412c527e8811d2c6a2d790146a1754fc54057dc1205f1ebce68ffdd88866d_MY22_Rav4_US_XLE_Premium_Hybrid_AWD_06X3_002_DS_Front_3_4_6K.png
2T3B6RFV7PW18H441,Factory to port,35625,False,,2023,hybrid,XLE Premium,Midnight Black Metallic,Route 22 Toyota,https://www.route22toyota.com,NJ,35625.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4/exteriorcolor/carjellyimage/a9927a2fb70fc2829db4714b5efc7efa3d2e63d01e369f6d156b6762dc6a8993_MY22_Rav4_US_XLE_Premium_Hybrid_AWD_0218_002_DS_Front_3_4_6K.png
2T3B6RFV8PW17H744,Factory to port,35125,True,DealerHold,2023,hybrid,XLE Premium,Lunar Rock,Concord Toyota,https://www.concordtoyota.com,CA,35125.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4/exteriorcolor/carjellyimage/e8d412c527e8811d2c6a2d790146a1754fc54057dc1205f1ebce68ffdd88866d_MY22_Rav4_US_XLE_Premium_Hybrid_AWD_06X3_002_DS_Front_3_4_6K.png
2T3B6RFV8PW18F133,Factory to port,35625,False,,2023,hybrid,XLE Premium,Midnight Black Metallic,Hillside Toyota,https://www.hillsidetoyota.nyc,NY,35625.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4/exteriorcolor/carjellyimage/a9927a2fb70fc2829db4714b5efc7efa3d2e63d01e369f6d156b6762dc6a8993_MY22_Rav4_US_XLE_Premium_Hybrid_AWD_0218_002_DS_Front_3_4_6K.png
2T3B6RFV8PW19F757,Factory to port,35625,True,DealerHold,2023,hybrid,XLE Premium,Silver Sky Metallic,Prestige Toyota of Ramsey,https://www.prestigetoyota.com,NJ,35625.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4/exteriorcolor/carjellyimage/ed35f12a91c6962cbf3f43c4d1aa5feaa9d75291a5308013beda4f6651f3a169_MY22_Rav4_US_XLE_Premium_Hybrid_AWD_01D6_002_DS_Front_3_4_6K.png
2T3B6RFV9PW038587,Port to dealer,35125,False,DealerHold,2023,hybrid,XLE Premium,Magnetic Gray Metallic,Toyota of Wellesley,https://www.wellesleytoyota.com,MA,35125.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4/exteriorcolor/carjellyimage/81adc61e800f04245f48a996bd75a71a3fdb4548844d48c6c6ff64ee039f46ce_MY22_Rav4_US_XLE_Premium_Hybrid_AWD_01G3_002_DS_Front_3_4_6K.png
2T3B6RFV9PW20E966,Factory to port,35625,True,,2023,hybrid,XLE Premium,Magnetic Gray Metallic,Fordham Toyota,https://www.fordhamtoyota.com,NY,35625.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4/exteriorcolor/carjellyimage/81adc61e800f04245f48a996bd75a71a3fdb4548844d48c6c6ff64ee039f46ce_MY22_Rav4_US_XLE_Premium_Hybrid_AWD_01G3_002_DS_Front_3_4_6K.png
2T3B6RFVXPW038078,Port to dealer,35125,False,DealerHold,2023,hybrid,XLE Premium,Midnight Black Metallic,Toyota of Watertown,https://www.toyotaofwatertown.com,MA,35125.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4/exteriorcolor/carjellyimage/a9927a2fb70fc2829db4714b5efc7efa3d2e63d01e369f6d156b6762dc6a8993_MY22_Rav4_US_XLE_Premium_Hybrid_AWD_0218_002_DS_Front_3_4_6K.png
2T3B6RFVXPW038081,Port to dealer,35125,True,DealerHold,2023,hybrid,XLE Premium,Lunar Rock,McGee Toyota of Claremont,https://www.mcgeetoyotaofclaremont.com,NH,35125.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4/exteriorcolor/carjellyimage/e8d412c527e8811d2c6a2d790146a1754fc54057dc1205f1ebce68ffdd88866d_MY22_Rav4_US_XLE_Premium_Hybrid_AWD_06X3_002_DS_Front_3_4_6K.png
2T3B6RFVXPW17H745,Factory to port,35125,True,DealerHold,2023,hybrid,XLE Premium,Silver Sky Metallic,Concord Toyota,https://www.concordtoyota.com,CA,35125.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4/exteriorcolor/carjellyimage/ed35f12a91c6962cbf3f43c4d1aa5feaa9d75291a5308013beda4f6651f3a169_MY22_Rav4_US_XLE_Premium_Hybrid_AWD_01D6_002_DS_Front_3_4_6K.png
