Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer Website,Dealer State,Image
2023,XLE,Cypress,FWD,27715,0.0,27715.0,Factory to port,True,Available,7MUDAAAG8PV20A867,South Dade Toyota,https://www.southdadetoyota.com,FL,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/corollacross/exteriorcolor/carjellyimage/c07bbb3e6f2cfba2f40c1c12e2b03c298726ebdeeb71a200302be695f21513a3_MY22_Corolla-Cross_US_XLE_6X5_002_DS_Front_3_4_6K.png
2023,XLE,Jet Black,FWD,27715,0.0,27715.0,Factory to port,False,Available,7MUDAAAG8PV20A870,West Kendall Toyota,https://www.westkendalltoyota.com,FL,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/corollacross/exteriorcolor/carjellyimage/48e110f91c7694632385b2c62619aaf6377de71127a241c96c4b369c68330490_MY22_Corolla-Cross_US_XLE_D10_002_DS_Front_3_4_6K.png
2023,XLE,Wind Chill Pearl,FWD,27715,0.0,27715.0,Factory to port,False,Available,7MUDAAAG8PV20B100,Toyota of Greer,https://www.toyotaofgreer.com,SC,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/corollacross/exteriorcolor/carjellyimage/3527a5d8546ee814f8f1c0af7440537af72b6090d616ef984d7df72d97265809_MY22_Corolla-Cross_US_XLE_089_002_DS_Front_3_4_6K.png
2023,XLE,Sonic Silver,FWD,27715,0.0,27715.0,Factory to port,False,Available,7MUDAAAG8PV20B209,Serra Toyota,https://www.serratoyota.com,AL,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/corollacross/exteriorcolor/carjellyimage/84ef6f54f632709dddb98df7c5bf316a149473086d6db948ea606aa4af77a5b9_MY22_Corolla-Cross_US_XLE_D11_002_DS_Front_3_4_6K.png
2023,XLE,Barcelona Red Metallic,FWD,27715,0.0,27715.0,Factory to port,False,,7MUDAAAG8PV20B212,Atlanta Toyota,https://www.atlantatoyota.com,GA,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/corollacross/exteriorcolor/carjellyimage/feef4ebb508e37ce97d706ffe5cf3f257006ed0394902fee60dbb65acdbc613f_MY22_Corolla-Cross_US_XLE_3R3_002_DS_Front_3_4_6K.png
2023,XLE,Celestite,FWD,27715,0.0,27715.0,Factory to port,False,,7MUDAAAG8PV21A105,Milton Ruben Toyota of Augusta,https://www.miltonrubentoyota.com,GA,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/corollacross/exteriorcolor/carjellyimage/a88197c5edb2a56670dacb15cc3c7d2a635a95355444d0025bef52d79fa7e77e_MY22_Corolla-Cross_US_XLE_1K3_002_DS_Front_3_4_6K.png
2023,XLE,Wind Chill Pearl,FWD,27715,0.0,27715.0,Factory to port,False,,7MUDAAAG8PV21A153,Toyota of Clovis,https://www.toyotaofclovis.com,CA,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/corollacross/exteriorcolor/carjellyimage/3527a5d8546ee814f8f1c0af7440537af72b6090d616ef984d7df72d97265809_MY22_Corolla-Cross_US_XLE_089_002_DS_Front_3_4_6K.png
2023,XLE,Barcelona Red Metallic,FWD,27715,0.0,27715.0,Factory to port,False,Available,7MUDAAAG8PV21A167,Wesley Chapel Toyota,https://www.wesleychapeltoyota.com,FL,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/corollacross/exteriorcolor/carjellyimage/feef4ebb508e37ce97d706ffe5cf3f257006ed0394902fee60dbb65acdbc613f_MY22_Corolla-Cross_US_XLE_3R3_002_DS_Front_3_4_6K.png
2023,XLE,Celestite,FWD,27715,0.0,27715.0,Factory to port,False,Available,7MUDAAAG8PV21A394,West Kendall Toyota,https://www.westkendalltoyota.com,FL,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/corollacross/exteriorcolor/carjellyimage/a88197c5edb2a56670dacb15cc3c7d2a635a95355444d0025bef52d79fa7e77e_MY22_Corolla-Cross_US_XLE_1K3_002_DS_Front_3_4_6K.png
2023,XLE,Barcelona Red Metallic,FWD,27715,0.0,27715.0,Factory to port,False,,7MUDAAAG8PV21A430,Longo Toyota,https://www.longotoyota.com,CA,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/corollacross/exteriorcolor/carjellyimage/feef4ebb508e37ce97d706ffe5cf3f257006ed0394902fee60dbb65acdbc613f_MY22_Corolla-Cross_US_XLE_3R3_002_DS_Front_3_4_6K.png
2023,XLE,Blue Crush Metallic,FWD,27715,0.0,27715.0,Factory to port,False,Available,7MUDAAAG8PV21A458,Headquarter Toyota,https://www.headquartertoyota.com,FL,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/corollacross/exteriorcolor/carjellyimage/fefea8b4fab59219570dcee3056b6f4ef79cdc9b97c317e26e4f7e5ecd119f2d_MY22_Corolla-Cross_US_XLE_8W7_002_DS_Front_3_4_6K.png
2023,XLE,Sonic Silver,FWD,27715,0.0,27715.0,Factory to port,False,Available,7MUDAAAG8PV21A461,Phillips Toyota,https://www.phillipstoyota.com,FL,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/corollacross/exteriorcolor/carjellyimage/84ef6f54f632709dddb98df7c5bf316a149473086d6db948ea606aa4af77a5b9_MY22_Corolla-Cross_US_XLE_D11_002_DS_Front_3_4_6K.png
